observacao_id,objeto_id,amostra_codigo,profund_sup,profund_inf,solidos_totais,volume_agua,areia_total,argila_total
unidade,-,-,cm,cm,g/L,mL,g/kg,g/kg
fracionador,sedimento,Entrada: 10g/L; Saída: A; Repetição: 3,-,-,-,-,"577,46","59,90"
fracionador,sedimento,Entrada: 10g/L; Saída: A; Repetição: 4,-,-,-,-,"538,41","83,91"
fracionador,sedimento,Entrada: 10g/L; Saída: A; Repetição: 5,-,-,-,-,"585,43","83,26"
fracionador,sedimento,Entrada: 10g/L; Saída: B; Repetição: 1,-,-,-,-,"514,82","78,42"
fracionador,sedimento,Entrada: 10g/L; Saída: B; Repetição: 2,-,-,-,-,"574,75","59,92"
fracionador,sedimento,Entrada: 10g/L; Saída: B; Repetição: 3,-,-,-,-,"533,53","91,16"
fracionador,sedimento,Entrada: 10g/L; Saída: B; Repetição: 4,-,-,-,-,"574,14","60,23"
fracionador,sedimento,Entrada: 10g/L; Saída: B; Repetição: 5,-,-,-,-,"525,42","82,63"
fracionador,sedimento,Entrada: 50g/L; Saída: A; Repetição: 1,-,-,-,-,"522,86","87,45"
fracionador,sedimento,Entrada: 50g/L; Saída: A; Repetição: 2,-,-,-,-,"588,13","90,36"
fracionador,sedimento,Entrada: 50g/L; Saída: A; Repetição: 3,-,-,-,-,"593,46","90,80"
fracionador,sedimento,Entrada: 50g/L; Saída: A; Repetição: 4,-,-,-,-,"589,55","92,07"
fracionador,sedimento,Entrada: 50g/L; Saída: A; Repetição: 5,-,-,-,-,"596,89","83,15"
fracionador,sedimento,Entrada: 50g/L; Saída: B; Repetição: 1,-,-,-,-,"580,50","93,41"
fracionador,sedimento,Entrada: 50g/L; Saída: B; Repetição: 2,-,-,-,-,"591,56","94,22"
fracionador,sedimento,Entrada: 50g/L; Saída: B; Repetição: 3,-,-,-,-,"578,87","88,65"
fracionador,sedimento,Entrada: 50g/L; Saída: B; Repetição: 4,-,-,-,-,"606,02","78,25"
fracionador,sedimento,Entrada: 50g/L; Saída: B; Repetição: 5,-,-,-,-,"576,03","84,99"
solo,TFSA,1,0,20,-,-,"578,35","88,65"
solo,TFSA,2,0,20,-,-,"583,58","87,83"
solo,TFSA,3,0,20,-,-,"586,22","89,03"
